total_tasks,avg_progress,avg_estimated_hours,total_estimated_hours,avg_hours_logged,total_hours_logged,hours_efficiency,project_duration_days,completed_task_count,in_progress_task_count,on_hold_task_count,not_started_task_count,cancelled_task_count,avg_allocation_score,avg_workload,avg_experience,avg_performance,avg_task_duration_days,risk_level,status
12,89.49,20.72,239.64,24.77,297.22,1.24,30,8,1,1,1,1,0.88,68.65,2.80,4.87,2.50,Medium,Completed
6,7.30,38.98,221.31,36.93,221.60,1.00,82,0,0,1,5,0,0.64,73.26,1.16,4.20,13.67,Low,Planning
12,11.45,23.41,265.60,15.22,182.61,0.69,113,1,2,1,7,1,0.56,72.29,1.58,3.87,9.42,Low,Planning
12,39.71,20.56,245.92,17.27,207.24,0.84,81,3,0,6,2,1,0.73,83.82,9.17,4.09,6.75,Critical,On Hold
13,33.53,27.78,369.25,17.33,225.31,0.61,121,2,2,5,3,1,0.32,90.68,8.94,2.62,9.31,High,Delayed
6,85.58,26.16,164.55,29.83,178.97,1.09,63,4,1,1,0,0,0.87,73.79,2.12,4.90,10.50,Low,Completed
13,36.59,18.86,257.80,11.92,154.98,0.60,133,2,2,6,2,1,0.68,79.60,5.33,3.06,10.23,High,On Hold
7,74.28,15.91,97.73,15.09,105.64,1.08,63,2,3,0,2,0,0.60,64.55,8.11,3.99,9.00,High,In Progress
6,86.14,15.31,111.72,18.26,109.54,0.98,32,4,1,0,1,0,0.80,55.51,4.77,4.20,5.33,Medium,Completed
6,63.86,35.78,223.80,32.10,192.61,0.86,64,2,3,0,1,0,0.72,79.19,5.54,3.81,10.67,High,In Progress
5,97.61,8.94,40.52,9.67,48.36,1.19,44,4,0,0,1,0,0.81,56.92,6.33,4.91,8.80,Low,Completed
6,14.49,15.55,104.31,11.85,71.08,0.68,116,0,0,1,4,1,0.61,72.82,4.72,3.10,19.33,Low,Planning
10,34.24,19.50,198.67,9.07,90.73,0.46,178,0,2,4,3,1,0.38,93.13,3.93,3.66,17.80,Critical,Delayed
12,52.46,22.36,275.11,14.72,176.64,0.64,49,2,6,2,2,0,0.69,77.67,2.50,3.25,4.08,Medium,In Progress
9,15.15,30.57,273.01,22.80,205.18,0.75,95,2,2,2,2,1,0.33,85.39,1.51,3.30,10.56,Medium,Delayed
6,48.10,11.91,69.53,11.59,69.56,1.00,113,2,3,0,1,0,0.68,77.21,4.58,3.72,18.83,High,In Progress
7,59.67,28.45,213.88,22.25,155.72,0.73,87,3,3,0,1,0,0.70,63.49,1.27,3.46,12.43,Low,In Progress
6,91.21,13.20,66.71,14.77,88.62,1.30,58,4,0,1,1,0,0.92,54.43,7.23,4.84,9.67,High,Completed
6,18.96,34.59,222.11,31.39,188.31,0.85,120,1,1,0,4,0,0.71,76.91,2.94,3.99,20.00,Low,Planning
9,49.80,39.98,341.76,39.62,356.55,1.04,90,2,2,3,2,0,0.73,62.26,3.60,3.16,10.00,Critical,On Hold
10,9.45,33.53,332.72,31.09,310.87,0.93,117,1,2,1,6,0,0.69,68.21,6.67,3.91,11.70,Medium,Planning
7,13.81,27.09,191.44,21.07,147.47,0.77,119,1,0,0,5,1,0.55,76.06,7.83,3.75,17.00,Medium,Planning
13,56.83,20.76,273.12,16.89,219.56,0.80,59,4,6,1,2,0,0.66,78.67,7.44,3.78,4.54,Low,In Progress
11,7.49,9.93,126.59,7.35,80.89,0.64,63,1,2,1,6,1,0.69,73.08,7.03,4.39,5.73,Medium,Planning
12,87.54,20.80,268.63,23.85,286.24,1.07,59,8,1,1,1,1,0.87,54.54,5.73,4.71,4.92,Low,Completed
6,92.70,37.37,221.19,34.61,207.64,0.94,83,4,1,0,0,1,0.71,65.83,9.56,4.60,13.83,Medium,Completed
10,89.95,13.59,130.36,15.93,159.28,1.22,53,6,1,1,1,1,0.76,69.51,3.47,4.82,5.30,Low,Completed
14,15.42,12.90,169.95,9.64,134.99,0.79,122,2,3,5,3,1,0.33,80.47,6.78,3.41,8.71,Critical,Delayed
14,28.11,12.37,180.93,6.95,97.25,0.54,128,2,3,5,3,1,0.30,86.82,8.37,3.40,9.14,Critical,Delayed
11,25.43,14.14,148.47,6.94,76.32,0.51,130,2,2,3,3,1,0.43,96.64,7.03,2.60,11.82,Critical,Delayed
12,49.86,29.42,372.85,25.44,305.32,0.82,130,2,2,5,2,1,0.63,68.34,6.22,3.13,10.83,Medium,On Hold
13,33.18,11.83,172.82,4.83,62.77,0.36,173,2,3,4,3,1,0.46,96.84,5.69,3.44,13.31,Critical,Delayed
11,19.52,9.16,92.85,4.63,50.89,0.55,155,2,3,2,3,1,0.40,84.78,5.59,3.74,14.09,Critical,Delayed
15,48.49,39.75,610.29,27.16,407.47,0.67,93,4,6,2,2,1,0.75,69.52,8.90,4.30,6.20,Low,In Progress
12,93.97,12.92,144.00,15.34,184.08,1.28,47,8,1,1,1,1,0.91,53.31,8.76,4.92,3.92,Low,Completed
10,20.77,34.41,350.72,22.32,223.20,0.64,70,2,0,5,2,1,0.54,84.08,5.95,4.45,7.00,Critical,On Hold
9,87.13,8.01,52.80,8.66,77.92,1.30,52,5,1,1,1,1,0.72,69.52,5.14,4.06,5.78,High,Completed
12,14.50,17.70,196.50,15.52,186.30,0.95,33,1,2,1,7,1,0.57,65.82,2.99,3.26,2.75,Medium,Planning
10,44.83,28.93,283.47,23.44,234.39,0.83,135,1,2,4,2,1,0.72,79.23,1.10,3.62,13.50,Critical,On Hold
10,88.38,14.07,145.46,14.03,140.29,0.96,55,6,1,1,1,1,0.94,70.04,9.64,4.49,5.50,Low,Completed
8,95.32,12.78,87.29,14.81,118.50,1.30,77,5,0,1,1,1,0.82,59.40,4.55,4.46,9.62,Medium,Completed
5,44.27,38.57,204.33,28.01,140.04,0.69,50,1,0,3,1,0,0.52,66.98,9.37,3.38,10.00,Critical,On Hold
11,33.30,24.59,256.49,22.01,242.07,0.94,114,3,1,4,2,1,0.51,60.95,7.72,3.99,10.36,Medium,On Hold
7,30.49,24.27,165.43,19.05,133.35,0.81,149,2,0,3,1,1,0.73,76.53,2.67,3.26,21.29,High,On Hold
10,20.31,32.62,331.14,24.55,245.52,0.74,99,2,1,4,2,1,0.58,66.52,1.62,4.44,9.90,Critical,On Hold
11,96.36,11.65,127.55,13.70,150.67,1.18,45,7,1,1,1,1,0.86,53.20,4.04,4.93,4.09,Low,Completed
13,17.15,11.89,142.44,8.97,116.65,0.82,110,1,3,5,3,1,0.54,97.23,8.62,3.88,8.46,Critical,Delayed
9,95.54,25.85,219.87,23.68,213.14,0.97,51,5,1,1,1,1,0.77,63.49,7.55,4.11,5.67,Medium,Completed
8,16.37,24.19,207.13,21.60,172.82,0.83,72,0,1,1,6,0,0.72,75.30,1.95,3.23,9.00,Low,Planning
14,64.73,39.74,540.30,30.22,423.14,0.78,150,4,6,1,2,1,0.59,78.56,8.34,3.92,10.71,High,In Progress
13,18.17,31.86,402.32,24.96,324.43,0.81,109,1,3,5,3,1,0.34,86.11,8.89,3.99,8.38,Critical,Delayed
9,94.74,14.95,120.07,16.43,147.87,1.23,83,5,1,1,1,1,0.70,65.49,4.20,4.79,9.22,Low,Completed
11,24.98,25.97,288.07,16.66,183.21,0.64,123,1,3,3,3,1,0.48,80.46,3.90,3.45,11.18,Critical,Delayed
12,28.39,24.55,292.24,11.27,135.23,0.46,144,1,3,4,3,1,0.37,87.43,1.56,3.70,12.00,High,Delayed
13,49.73,28.36,380.08,18.36,238.64,0.63,119,3,2,5,2,1,0.72,78.50,9.55,3.30,9.15,Critical,On Hold
15,52.78,16.74,251.80,12.04,180.65,0.72,63,4,6,2,2,1,0.63,81.82,8.58,3.28,4.20,Low,In Progress
9,8.38,21.98,206.99,19.92,179.26,0.87,83,0,2,0,7,0,0.54,69.97,9.30,3.71,9.22,Low,Planning
13,57.87,37.00,470.98,26.22,340.92,0.72,98,4,6,0,2,1,0.75,66.70,2.41,4.28,7.54,Medium,In Progress
6,86.21,12.46,76.03,12.75,76.48,1.01,36,4,1,0,1,0,0.76,68.31,5.93,4.13,6.00,Medium,Completed
9,41.75,31.39,301.73,22.05,198.47,0.66,52,1,2,4,1,1,0.56,68.46,3.78,4.42,5.78,Medium,On Hold
13,26.82,35.22,460.31,28.51,370.57,0.81,110,3,2,5,2,1,0.62,73.56,8.13,3.82,8.46,Critical,On Hold
11,70.86,38.26,434.88,33.20,365.16,0.84,142,4,5,0,1,1,0.64,78.73,3.62,4.18,12.91,Medium,In Progress
14,39.79,32.22,451.80,21.97,307.58,0.68,134,3,2,6,2,1,0.55,66.39,9.52,3.84,9.57,Critical,On Hold
6,53.47,8.87,35.82,6.97,41.81,1.17,116,2,3,0,1,0,0.62,79.96,4.35,3.68,19.33,Medium,In Progress
8,67.72,14.26,101.54,9.09,72.74,0.72,136,2,3,1,1,1,0.58,67.81,6.78,3.29,17.00,Low,In Progress
6,19.08,30.27,193.34,15.94,95.66,0.49,92,0,2,2,2,0,0.57,83.38,5.56,3.40,15.33,Critical,Delayed
12,96.25,33.55,421.37,38.83,465.90,1.11,38,8,1,1,1,1,0.83,74.18,4.76,4.98,3.17,Medium,Completed
9,86.30,21.68,181.61,19.59,176.34,0.97,54,5,1,1,1,1,0.71,70.57,2.89,4.38,6.00,High,Completed
8,97.62,25.31,210.85,25.16,201.29,0.95,40,5,1,0,1,1,0.86,57.85,3.29,4.82,5.00,Medium,Completed
15,63.41,12.54,182.06,9.79,146.78,0.81,102,4,6,2,2,1,0.63,74.43,7.64,4.21,6.80,Low,In Progress
7,27.04,29.64,200.47,19.99,139.94,0.70,117,1,1,2,2,1,0.35,93.11,9.93,2.61,16.71,Critical,Delayed
8,67.89,24.40,187.45,16.72,133.75,0.71,143,2,4,0,2,0,0.62,78.98,9.13,3.35,17.88,Low,In Progress
6,11.91,35.98,195.86,24.02,144.11,0.74,75,1,0,1,4,0,0.76,73.67,4.42,4.47,12.50,Low,Planning
8,96.56,16.96,150.02,16.75,134.02,0.89,80,6,1,1,0,0,0.87,70.99,9.84,4.62,10.00,Low,Completed
11,10.31,11.85,113.06,5.99,65.86,0.58,98,1,3,3,3,1,0.44,86.03,6.39,2.95,8.91,Critical,Delayed
13,45.14,36.55,462.61,23.09,300.13,0.65,142,3,1,6,2,1,0.59,70.73,3.41,4.18,10.92,Critical,On Hold
9,97.16,11.68,88.85,13.70,123.27,1.30,33,5,1,1,1,1,0.72,73.90,1.23,4.69,3.67,Low,Completed
10,91.23,36.56,363.34,39.56,395.63,1.09,80,7,1,0,1,1,0.90,65.99,7.09,4.13,8.00,Low,Completed
7,11.77,23.13,181.28,11.74,82.19,0.45,127,0,3,2,2,0,0.38,87.24,5.25,2.57,18.14,Critical,Delayed
8,88.93,23.14,189.98,24.08,192.65,1.01,77,7,1,0,0,0,0.75,62.91,1.05,4.01,9.62,Low,Completed
8,18.98,33.68,272.34,27.12,216.93,0.80,83,1,0,1,5,1,0.62,62.18,6.55,3.17,10.38,Low,Planning
11,32.65,22.42,263.79,14.93,164.26,0.62,89,2,1,5,2,1,0.62,82.69,7.43,3.91,8.09,High,On Hold
15,65.60,30.96,477.62,19.08,286.20,0.60,128,4,6,2,2,1,0.53,69.60,5.11,3.55,8.53,Medium,In Progress
12,10.43,19.35,249.90,16.79,201.44,0.81,103,1,2,1,7,1,0.68,60.25,6.72,4.37,8.58,Medium,Planning
7,49.74,11.86,99.10,7.43,52.01,0.52,65,1,1,3,2,0,0.75,77.37,5.79,3.67,9.29,High,On Hold
11,94.69,22.93,264.91,21.10,232.12,0.88,50,8,1,1,0,1,0.81,66.82,3.48,4.31,4.55,Medium,Completed
6,13.73,35.44,229.32,27.38,164.25,0.72,104,0,0,1,5,0,0.61,75.03,7.35,4.03,17.33,Low,Planning
13,64.37,32.38,438.82,23.83,309.78,0.71,118,4,4,2,2,1,0.69,68.52,1.65,3.61,9.08,Medium,In Progress
10,20.83,11.37,100.38,11.24,112.41,1.12,79,2,2,3,2,1,0.65,84.10,4.46,3.06,7.90,High,On Hold
7,19.34,22.67,150.28,21.77,152.37,1.01,66,1,1,1,4,0,0.59,82.21,6.43,4.24,9.43,High,Planning
8,23.54,32.75,281.23,19.36,154.90,0.55,102,1,1,2,3,1,0.53,96.67,4.96,2.95,12.75,Critical,Delayed
7,92.63,18.96,123.52,22.56,157.91,1.28,68,6,1,0,0,0,0.74,64.57,10.00,4.15,9.71,Medium,Completed
8,91.46,36.17,294.30,38.73,309.85,1.05,87,6,0,1,1,0,0.88,53.70,8.67,4.71,10.88,High,Completed
9,29.86,9.22,92.77,5.71,51.40,0.55,94,0,2,4,2,1,0.38,97.54,9.50,2.72,10.44,Critical,Delayed
8,35.34,24.72,200.25,19.19,153.55,0.77,76,1,2,3,2,0,0.65,74.43,8.79,4.47,9.50,Critical,On Hold
7,14.60,14.42,85.28,13.57,95.01,1.11,110,0,0,1,5,1,0.59,66.01,3.81,3.38,15.71,Low,Planning
11,94.70,32.40,373.60,29.46,324.06,0.87,32,7,1,1,1,1,0.73,57.48,4.23,4.80,2.91,Low,Completed
13,70.02,10.87,121.45,6.72,87.31,0.72,80,4,5,2,1,1,0.72,63.57,7.78,4.15,6.15,High,In Progress
5,11.94,30.40,136.18,17.01,85.07,0.62,123,0,1,2,2,0,0.42,88.14,1.59,3.02,24.60,Critical,Delayed
8,86.08,8.19,49.60,9.51,76.09,1.30,31,5,1,0,1,1,0.83,69.86,7.36,4.05,3.88,Low,Completed
9,89.50,17.36,142.34,17.01,153.10,1.08,83,5,1,1,1,1,0.82,55.65,6.76,4.98,9.22,Medium,Completed
9,30.54,36.44,328.06,21.12,190.12,0.58,99,2,1,4,2,0,0.47,92.74,5.74,3.19,11.00,Critical,Delayed
9,9.07,20.85,173.96,19.86,178.76,1.03,104,0,1,1,6,1,0.62,62.57,2.70,4.17,11.56,Medium,Planning
10,24.12,10.65,123.70,7.78,77.80,0.63,108,2,3,4,1,0,0.56,91.44,9.16,3.91,10.80,Critical,Delayed
11,66.12,9.35,105.47,9.09,100.01,0.95,133,4,3,2,2,0,0.50,64.17,7.42,4.00,12.09,Critical,In Progress
5,43.45,29.64,165.94,20.97,104.85,0.63,133,1,0,3,1,0,0.69,61.20,4.24,4.44,26.60,Critical,On Hold
13,19.28,21.33,290.15,15.79,205.22,0.71,105,2,3,5,3,0,0.56,94.61,6.83,3.69,8.08,High,Delayed
6,14.67,37.79,211.74,33.81,202.87,0.96,99,1,0,0,4,1,0.62,77.83,2.79,4.34,16.50,Low,Planning
7,15.32,11.57,81.61,8.18,57.25,0.70,82,1,1,0,4,1,0.57,82.78,8.54,4.06,11.71,High,Planning
7,34.09,36.99,249.63,25.52,178.67,0.72,114,2,1,3,1,0,0.46,93.55,3.81,3.66,16.29,High,Delayed
13,58.07,32.65,436.67,21.16,275.04,0.63,50,3,6,1,2,1,0.60,68.55,7.65,3.33,3.85,High,In Progress
9,29.51,29.62,268.45,21.68,195.10,0.73,176,0,1,4,3,1,0.44,87.96,3.73,2.60,19.56,Critical,Delayed
6,33.94,23.15,121.28,15.48,92.87,0.77,93,0,2,2,2,0,0.58,95.70,9.92,3.32,15.50,Medium,Delayed
8,89.41,14.27,99.77,15.50,124.03,1.24,39,6,1,1,0,0,0.77,74.54,5.75,4.91,4.88,Low,Completed
6,61.16,19.05,130.98,13.64,81.85,0.62,104,2,3,0,1,0,0.52,77.25,7.21,4.40,17.33,High,In Progress
14,67.83,29.75,399.52,21.12,295.64,0.74,130,4,5,2,2,1,0.66,64.51,5.13,3.84,9.29,Low,In Progress
12,87.76,24.87,294.13,27.30,327.63,1.11,70,8,1,1,1,1,0.94,74.87,7.41,4.98,5.83,Low,Completed
9,34.00,8.45,89.26,5.86,52.72,0.59,106,1,3,4,1,0,0.46,99.55,7.82,2.74,11.78,Critical,Delayed
8,14.05,13.21,108.25,12.00,96.00,0.89,115,1,1,0,6,0,0.75,79.61,4.39,3.83,14.38,High,Planning
9,91.73,33.86,294.94,32.98,296.78,1.01,58,5,1,1,1,1,0.87,52.96,3.60,4.40,6.44,High,Completed
7,97.86,23.41,169.28,21.71,151.94,0.90,59,6,0,0,0,1,0.94,64.43,4.21,4.79,8.43,Low,Completed
9,48.05,29.01,250.73,19.63,176.68,0.70,64,2,4,1,1,1,0.65,65.52,1.35,3.05,7.11,Medium,In Progress
6,11.41,38.41,233.75,29.76,178.55,0.76,80,1,0,0,4,1,0.60,80.99,2.29,3.65,13.33,High,Planning
6,87.87,32.42,207.44,37.82,226.94,1.09,79,5,0,0,0,1,0.85,54.65,3.98,4.86,13.17,Low,Completed
14,66.80,21.10,307.85,19.72,276.02,0.90,105,4,5,2,2,1,0.73,68.82,8.42,3.77,7.50,High,In Progress
9,35.68,20.54,186.71,16.69,150.24,0.80,109,3,0,4,2,0,0.52,84.33,3.04,3.46,12.11,High,On Hold
7,95.39,14.12,91.21,15.80,110.62,1.21,65,4,1,1,0,1,0.91,60.57,3.73,4.33,9.29,Medium,Completed
7,31.80,39.99,276.13,27.52,192.62,0.70,71,2,0,4,1,0,0.68,76.53,1.71,3.82,10.14,Critical,On Hold
6,33.73,38.47,212.52,19.47,116.83,0.55,157,2,1,2,1,0,0.49,82.60,6.04,3.67,26.17,High,Delayed
8,47.95,37.85,315.93,33.27,266.15,0.84,140,3,3,0,2,0,0.74,63.05,2.13,4.28,17.50,Medium,In Progress
7,74.36,9.66,53.31,6.62,46.35,0.87,128,2,3,1,1,0,0.76,77.53,7.54,3.84,18.29,Critical,In Progress
6,67.03,17.98,107.20,14.43,86.61,0.81,140,2,3,0,1,0,0.62,60.63,8.55,3.02,23.33,Low,In Progress
10,92.07,30.60,307.35,32.50,325.02,1.06,82,7,1,0,1,1,0.88,71.57,2.61,4.80,8.20,Low,Completed
14,45.52,24.05,319.51,17.44,244.14,0.76,116,3,2,6,2,1,0.79,75.70,3.23,3.24,8.29,High,On Hold
9,11.71,37.92,338.50,28.49,256.37,0.76,158,1,1,4,2,1,0.54,85.72,4.89,3.53,17.56,Critical,Delayed
6,95.93,28.54,178.07,31.09,186.57,1.05,43,5,0,0,1,0,0.90,65.03,9.91,4.33,7.17,High,Completed
5,98.59,8.37,39.84,9.98,49.92,1.25,31,5,0,0,0,0,0.73,60.09,7.64,4.70,6.20,Low,Completed
6,67.20,20.72,114.91,14.14,84.82,0.74,133,2,3,0,1,0,0.69,73.74,7.21,3.22,22.17,High,In Progress
11,64.25,27.17,303.81,23.35,256.84,0.85,74,3,4,1,2,1,0.71,69.33,6.07,3.68,6.73,High,In Progress
10,87.17,8.06,67.61,7.54,75.41,1.12,54,6,1,1,1,1,0.94,68.41,8.95,4.20,5.40,Low,Completed
7,52.59,9.62,72.41,7.25,50.77,0.70,51,3,3,0,1,0,0.64,83.94,4.59,4.26,7.29,Medium,In Progress
12,91.08,18.47,237.19,17.09,205.03,0.86,54,8,1,1,1,1,0.76,60.86,7.51,4.01,4.50,Low,Completed
6,64.62,25.50,159.83,22.45,134.69,0.84,84,2,3,0,1,0,0.75,61.25,9.20,3.04,14.00,Medium,In Progress
10,94.42,19.36,190.55,18.67,186.70,0.98,62,6,1,1,1,1,0.72,73.79,8.55,4.81,6.20,Medium,Completed
12,28.07,21.68,248.41,19.94,239.32,0.96,88,2,2,6,2,0,0.61,82.38,7.00,4.18,7.33,Critical,On Hold
14,24.97,10.05,153.66,5.19,72.72,0.47,100,2,3,5,3,1,0.36,91.80,4.67,3.20,7.14,Critical,Delayed
5,6.68,21.11,111.75,14.86,74.32,0.66,67,0,0,1,4,0,0.65,79.66,9.48,4.12,13.40,Medium,Planning
11,92.75,17.25,182.19,16.82,185.05,1.02,85,7,1,1,1,1,0.76,68.56,1.69,4.87,7.73,Medium,Completed
11,11.94,38.12,434.33,16.81,184.91,0.43,98,1,3,4,2,1,0.55,86.98,5.69,3.69,8.91,High,Delayed
8,95.11,27.54,206.71,30.35,242.79,1.17,42,5,1,1,0,1,0.80,62.23,4.87,4.74,5.25,Medium,Completed
9,14.52,21.25,200.59,20.25,182.24,0.91,39,1,2,1,5,0,0.67,62.96,2.91,3.47,4.33,Low,Planning
10,15.45,21.27,222.87,20.18,201.78,0.91,96,1,2,1,5,1,0.71,64.29,5.50,3.62,9.60,High,Planning
6,18.43,38.24,237.33,22.88,137.28,0.58,150,0,1,2,2,1,0.34,93.84,2.86,3.09,25.00,High,Delayed
12,71.57,33.37,383.18,26.35,316.21,0.83,123,4,5,1,1,1,0.57,77.87,8.93,4.10,10.25,High,In Progress
12,44.62,18.68,235.78,14.58,174.92,0.74,132,3,1,5,2,1,0.62,72.11,1.12,3.61,11.00,Critical,On Hold
7,56.68,16.99,107.24,10.48,73.35,0.68,50,2,3,1,1,0,0.66,84.20,1.60,3.97,7.14,Medium,In Progress
7,54.63,33.72,233.39,33.68,235.79,1.01,150,2,3,0,1,1,0.57,68.76,4.35,3.10,21.43,Medium,In Progress
7,96.64,29.02,211.46,26.19,183.31,0.87,72,4,0,1,1,1,0.91,59.33,6.69,4.10,10.29,Low,Completed
12,95.62,33.02,406.34,37.68,452.11,1.11,87,8,1,1,1,1,0.70,55.18,7.42,4.39,7.25,Medium,Completed
10,16.37,21.86,229.58,20.57,205.72,0.90,115,1,1,0,7,1,0.59,70.37,7.41,3.58,11.50,Medium,Planning
13,10.74,31.86,416.55,26.57,345.42,0.83,79,1,2,1,8,1,0.75,76.49,8.17,3.41,6.08,Medium,Planning
8,64.64,18.38,137.86,12.43,99.48,0.72,57,2,3,1,1,1,0.75,61.58,7.99,4.23,7.12,High,In Progress
11,30.61,16.31,160.72,12.26,134.83,0.84,124,2,3,2,3,1,0.49,97.16,8.05,3.14,11.27,Critical,Delayed
12,34.97,34.01,416.36,26.76,321.12,0.77,116,1,3,4,3,1,0.40,94.96,8.26,3.79,9.67,Medium,Delayed
7,36.99,12.16,66.04,9.05,63.36,0.96,103,2,0,3,1,1,0.59,76.36,3.09,3.02,14.71,Critical,On Hold
6,13.45,17.89,92.63,14.39,86.36,0.93,87,1,0,0,4,1,0.69,81.61,6.28,3.87,14.50,High,Planning
7,18.92,12.43,90.16,10.29,72.03,0.80,116,0,2,1,4,0,0.78,68.55,5.75,3.32,16.57,High,Planning
6,21.60,35.55,211.77,34.70,208.20,0.98,63,1,0,3,2,0,0.64,76.87,7.10,3.56,10.50,Medium,On Hold
10,49.69,28.62,305.13,17.97,179.69,0.59,66,4,3,1,2,0,0.69,74.98,2.61,4.06,6.60,High,In Progress
11,91.35,8.61,105.90,9.33,102.59,0.97,72,7,1,1,1,1,0.81,67.14,9.19,4.64,6.55,High,Completed
9,89.97,28.56,240.20,32.05,288.47,1.20,73,6,1,1,0,1,0.71,50.79,4.81,4.08,8.11,Medium,Completed
8,9.30,39.24,321.24,29.44,235.48,0.73,116,1,0,1,5,1,0.74,84.93,1.27,4.35,14.50,Medium,Planning
12,73.14,21.93,259.03,19.03,228.38,0.88,86,3,5,1,2,1,0.53,69.64,1.64,3.32,7.17,Medium,In Progress
8,98.55,13.36,92.77,15.92,127.39,1.30,86,4,1,1,1,1,0.81,56.96,8.18,4.33,10.75,Low,Completed
10,87.38,19.37,200.66,17.80,177.97,0.89,66,6,1,1,1,1,0.92,69.42,1.69,4.99,6.60,Low,Completed
11,63.72,12.99,142.05,11.85,130.36,0.92,68,2,5,1,2,1,0.58,72.20,1.74,3.69,6.18,Medium,In Progress
