project_id,project_name,description,client_name,project_manager_id,department,start_date,planned_end_date,actual_end_date,status,priority,progress_percentage,budget,team_size,created_date
P00037,Social Media Analytics,Social Media Analytics project for MarketPlus,MarketPlus,EMP123,Analytics,2025-06-03,2026-03-03,,Planning,Medium,12,2440000,14,2025-04-29
P00038,Warehouse Automation,Warehouse Automation project for FinanceCorp,FinanceCorp,EMP102,IT Infrastructure,2026-03-05,2026-06-24,,In Progress,Medium,34,1155000,7,2026-01-26
P00039,Financial Reporting Dashboard,Financial Reporting Dashboard project for CloudWorks,CloudWorks,EMP136,Customer Success,2025-01-08,2025-03-12,,In Progress,Medium,95,1750000,3,2024-12-02
P00040,CRM Implementation,CRM Implementation project for SecureNet,SecureNet,EMP118,Analytics,2026-01-03,2026-10-27,2026-10-28,Completed,Critical,100,1110000,13,2025-11-07
P00041,Inventory Management System,Inventory Management System project for DataCorp,DataCorp,EMP147,IT Infrastructure,2026-07-17,2027-04-13,2027-04-08,Completed,Low,100,1245000,16,2026-06-10
P00042,Employee Payroll System,Employee Payroll System project for Global Traders,Global Traders,EMP143,IT,2026-06-13,2027-05-21,,In Progress,Medium,38,1760000,18,2026-05-18
P00043,Cybersecurity Upgrade,Cybersecurity Upgrade project for OfficePro,OfficePro,EMP106,Healthcare IT,2025-08-10,2026-04-03,,Planning,Medium,18,1185000,16,2025-07-12
P00044,Employee Training Portal,Employee Training Portal project for FinanceCorp,FinanceCorp,EMP146,Sales,2026-05-28,2026-12-11,,In Progress,Low,81,1195000,11,2026-04-26
P00045,HR Automation System,HR Automation System project for IndustrialTech,IndustrialTech,EMP148,Marketing,2025-05-23,2026-02-06,,Planning,Medium,8,1470000,12,2025-05-07
P00046,AI Demand Forecasting,AI Demand Forecasting project for MedCare Hospitals,MedCare Hospitals,EMP138,IT,2025-05-25,2026-03-19,,On Hold,Low,22,490000,6,2025-04-12
P00047,Supply Chain Analytics,Supply Chain Analytics project for XYZ Technologies,XYZ Technologies,EMP114,Analytics,2025-07-26,2026-03-29,,In Progress,High,93,2470000,16,2025-07-01
P00048,Social Media Analytics,Social Media Analytics project for RetailAnalytics,RetailAnalytics,EMP134,IT Infrastructure,2025-01-11,2025-06-07,2025-08-19,Delayed,Medium,60,2110000,14,2025-01-03
P00049,Data Warehouse Development,Data Warehouse Development project for EduTech,EduTech,EMP144,Finance,2025-06-09,2026-05-04,,Planning,Medium,6,1335000,3,2025-05-14
P00050,Employee Payroll System,Employee Payroll System project for ServicePro,ServicePro,EMP141,IT Infrastructure,2026-05-28,2027-02-22,2027-03-28,Delayed,High,30,1950000,8,2026-04-11
P00051,Employee Payroll System,Employee Payroll System project for ABC Retail,ABC Retail,EMP122,Finance,2026-04-03,2027-02-22,,In Progress,Medium,42,2495000,5,2026-02-15
P00052,Inventory Management System,Inventory Management System project for FinTech Solutions,FinTech Solutions,EMP136,IT Infrastructure,2025-07-17,2026-02-25,2026-02-28,Completed,Medium,100,1410000,20,2025-05-22
P00053,Employee Training Portal,Employee Training Portal project for Global Traders,Global Traders,EMP120,Sales,2025-07-07,2026-01-11,,In Progress,Medium,67,1880000,4,2025-05-12
P00054,Marketing Analytics Platform,Marketing Analytics Platform project for OfficePro,OfficePro,EMP113,Analytics,2025-07-28,2026-06-07,2026-05-31,Completed,High,100,440000,12,2025-06-22
P00055,Marketing Analytics Platform,Marketing Analytics Platform project for Global Traders,Global Traders,EMP134,Analytics,2025-03-13,2025-11-08,2025-11-30,Completed,Medium,100,2400000,8,2025-02-06
P00056,E-Commerce Platform,E-Commerce Platform project for Global Traders,Global Traders,EMP124,Finance,2025-04-06,2026-01-24,,In Progress,Medium,56,625000,19,2025-03-20
P00057,Cloud Migration Project,Cloud Migration Project project for IndustrialTech,IndustrialTech,EMP112,Security,2026-08-19,2027-07-14,2027-08-27,Delayed,Medium,24,2050000,6,2026-06-24
P00058,Inventory Management System,Inventory Management System project for DigitalHub,DigitalHub,EMP134,IT Infrastructure,2026-02-20,2026-07-05,,In Progress,Medium,78,1345000,20,2026-02-08
P00059,Cybersecurity Upgrade,Cybersecurity Upgrade project for ServicePro,ServicePro,EMP117,Marketing,2026-02-11,2026-05-28,,In Progress,High,41,1700000,6,2025-12-14
P00060,Data Warehouse Development,Data Warehouse Development project for DataCorp,DataCorp,EMP130,Development,2025-06-18,2025-09-18,,In Progress,Low,30,1590000,3,2025-06-02
P00061,Document Management System,Document Management System project for CloudWorks,CloudWorks,EMP119,Human Resources,2026-05-29,2027-01-20,,In Progress,Medium,71,1185000,10,2026-04-05
P00062,Cybersecurity Upgrade,Cybersecurity Upgrade project for EduTech,EduTech,EMP145,Development,2025-04-17,2026-02-14,2026-04-17,Delayed,Critical,72,2390000,11,2025-04-01
P00063,Employee Training Portal,Employee Training Portal project for MedCare Hospitals,MedCare Hospitals,EMP143,Sales,2026-08-05,2027-07-28,2027-07-29,Completed,High,100,950000,14,2026-06-21
P00064,AI Demand Forecasting,AI Demand Forecasting project for PeopleFirst,PeopleFirst,EMP124,Sales,2025-10-30,2025-12-24,,In Progress,Medium,81,770000,12,2025-09-08
P00065,Supply Chain Analytics,Supply Chain Analytics project for DigitalHub,DigitalHub,EMP136,Development,2025-07-18,2025-09-01,2025-09-17,Completed,High,100,2260000,12,2025-06-04
P00066,Healthcare Management System,Healthcare Management System project for SecureNet,SecureNet,EMP109,Development,2026-03-27,2026-12-14,,Planning,Medium,0,910000,8,2026-03-15
P00067,Document Management System,Document Management System project for OfficePro,OfficePro,EMP150,Security,2025-09-08,2026-01-17,,In Progress,Medium,46,495000,18,2025-07-13
P00068,Employee Training Portal,Employee Training Portal project for FinTech Solutions,FinTech Solutions,EMP111,Marketing,2025-06-11,2025-12-25,2025-12-25,Completed,Medium,100,600000,12,2025-04-14
P00069,HR Automation System,HR Automation System project for DataCorp,DataCorp,EMP144,Finance,2026-02-15,2026-04-26,,In Progress,Low,36,1055000,10,2026-01-06
P00070,Marketing Analytics Platform,Marketing Analytics Platform project for RetailAnalytics,RetailAnalytics,EMP143,IT Infrastructure,2026-03-10,2026-05-18,,In Progress,Low,62,2225000,4,2026-01-22
P00071,Employee Payroll System,Employee Payroll System project for CloudWorks,CloudWorks,EMP109,AI Development,2025-12-28,2026-07-29,,Planning,High,20,1745000,10,2025-11-30
P00072,Inventory Management System,Inventory Management System project for OfficePro,OfficePro,EMP101,Operations,2025-10-05,2026-06-27,,Planning,Medium,2,535000,10,2025-08-21
P00073,Marketing Analytics Platform,Marketing Analytics Platform project for MedCare Hospitals,MedCare Hospitals,EMP137,Healthcare IT,2025-07-17,2026-06-10,,In Progress,Critical,68,1455000,3,2025-05-19
P00074,Mobile Banking Application,Mobile Banking Application project for DigitalHub,DigitalHub,EMP144,IT,2025-08-31,2026-03-18,,Planning,Medium,9,1650000,17,2025-07-24
P00075,Data Warehouse Development,Data Warehouse Development project for OfficePro,OfficePro,EMP136,Security,2026-06-09,2027-02-15,,In Progress,Medium,52,2070000,16,2026-05-20
P00076,Marketing Analytics Platform,Marketing Analytics Platform project for SalesPro,SalesPro,EMP103,Operations,2025-08-04,2026-06-20,2026-09-10,Delayed,High,86,1520000,7,2025-07-28
P00077,Healthcare Management System,Healthcare Management System project for SecureNet,SecureNet,EMP133,Marketing,2026-08-04,2027-02-03,,Planning,Low,15,1025000,13,2026-06-24
P00078,Customer Support Chatbot,Customer Support Chatbot project for CloudWorks,CloudWorks,EMP120,IT,2025-03-29,2025-07-18,2025-08-31,Delayed,Medium,26,2490000,5,2025-02-13
P00079,Online Learning Platform,Online Learning Platform project for MedCare Hospitals,MedCare Hospitals,EMP146,Customer Success,2025-04-08,2026-02-11,,In Progress,Low,50,835000,5,2025-02-18
P00080,Data Warehouse Development,Data Warehouse Development project for CloudWorks,CloudWorks,EMP141,Security,2025-07-19,2025-09-02,,In Progress,Medium,75,2420000,15,2025-06-23
P00081,Document Management System,Document Management System project for RetailAnalytics,RetailAnalytics,EMP140,Human Resources,2025-01-02,2025-05-15,,In Progress,Medium,23,720000,6,2024-11-18
P00082,Supply Chain Analytics,Supply Chain Analytics project for ABC Retail,ABC Retail,EMP121,AI Development,2026-06-12,2026-09-06,,In Progress,Medium,55,1415000,19,2026-06-01
P00083,Inventory Management System,Inventory Management System project for ServicePro,ServicePro,EMP117,AI Development,2025-07-24,2026-03-31,2026-03-28,Completed,Medium,100,500000,6,2025-06-07
P00084,Warehouse Automation,Warehouse Automation project for MarketPlus,MarketPlus,EMP142,Operations,2025-03-03,2025-07-12,2025-07-07,Completed,Medium,100,2260000,14,2025-01-12
P00085,CRM Implementation,CRM Implementation project for MedCare Hospitals,MedCare Hospitals,EMP106,Operations,2026-01-07,2026-06-11,,In Progress,Medium,55,1350000,10,2025-12-18
P00086,Cybersecurity Upgrade,Cybersecurity Upgrade project for SalesPro,SalesPro,EMP106,Finance,2026-07-29,2027-04-08,,Planning,Low,1,2240000,4,2026-07-06
P00087,HR Automation System,HR Automation System project for ABC Corporation,ABC Corporation,EMP104,Marketing,2026-08-20,2027-01-06,,In Progress,Critical,92,2105000,3,2026-07-01
P00088,Healthcare Management System,Healthcare Management System project for DataCorp,DataCorp,EMP126,Healthcare IT,2025-03-06,2025-08-14,,In Progress,High,44,680000,5,2025-01-27
P00089,Employee Payroll System,Employee Payroll System project for FinTech Solutions,FinTech Solutions,EMP104,Healthcare IT,2026-04-21,2026-11-11,,Planning,Low,5,380000,17,2026-03-20
P00090,Warehouse Automation,Warehouse Automation project for MedCare Hospitals,MedCare Hospitals,EMP130,AI Development,2025-08-06,2025-10-27,,In Progress,Medium,22,2315000,20,2025-07-24
P00091,Supply Chain Analytics,Supply Chain Analytics project for DataCorp,DataCorp,EMP109,Operations,2026-05-17,2027-04-26,,In Progress,Medium,19,1515000,8,2026-03-29
P00092,Warehouse Automation,Warehouse Automation project for MarketPlus,MarketPlus,EMP145,Customer Success,2025-12-30,2026-12-24,2027-01-13,Completed,Medium,100,2170000,7,2025-12-18
P00093,Warehouse Automation,Warehouse Automation project for SecureNet,SecureNet,EMP122,IT Infrastructure,2026-03-16,2026-12-14,,In Progress,Critical,30,1800000,19,2026-02-16
P00094,Employee Training Portal,Employee Training Portal project for SalesPro,SalesPro,EMP105,AI Development,2026-05-18,2026-08-05,,In Progress,Low,75,1980000,10,2026-04-19
P00095,Social Media Analytics,Social Media Analytics project for MedCare Hospitals,MedCare Hospitals,EMP135,Sales,2026-06-22,2027-01-04,,In Progress,High,36,1335000,7,2026-05-09
P00096,Financial Reporting Dashboard,Financial Reporting Dashboard project for LogiTech,LogiTech,EMP117,Sales,2025-03-28,2025-09-02,2025-10-02,Completed,High,100,1900000,12,2025-03-21
P00097,Customer Support Chatbot,Customer Support Chatbot project for RetailAnalytics,RetailAnalytics,EMP114,Customer Success,2026-03-11,2026-06-17,,In Progress,High,51,2315000,9,2026-03-06
P00098,Data Warehouse Development,Data Warehouse Development project for RetailAnalytics,RetailAnalytics,EMP133,Operations,2025-03-26,2026-02-14,,In Progress,Medium,68,1845000,8,2025-02-16
P00099,CRM Implementation,CRM Implementation project for ABC Retail,ABC Retail,EMP148,IT Infrastructure,2026-07-21,2027-01-14,,In Progress,Medium,42,2345000,19,2026-06-27
P00100,Mobile Banking Application,Mobile Banking Application project for SecureNet,SecureNet,EMP149,Customer Success,2026-01-13,2026-09-23,2026-10-01,Completed,High,100,795000,16,2026-01-04
P00101,Warehouse Automation,Warehouse Automation project for MarketPlus,MarketPlus,EMP122,Sales,2025-04-26,2026-01-17,,In Progress,High,47,2055000,6,2025-03-10
P00102,Inventory Management System,Inventory Management System project for ABC Retail,ABC Retail,EMP143,AI Development,2025-06-25,2025-11-19,2025-11-28,Completed,Medium,100,1440000,13,2025-05-23
P00103,Warehouse Automation,Warehouse Automation project for SalesPro,SalesPro,EMP111,IT,2026-06-22,2026-11-25,,In Progress,Low,54,385000,18,2026-05-15
P00104,E-Commerce Platform,E-Commerce Platform project for ABC Retail,ABC Retail,EMP143,Healthcare IT,2026-01-22,2027-01-12,2027-04-07,Delayed,Medium,84,1700000,11,2025-12-29
P00105,Employee Payroll System,Employee Payroll System project for MedCare Hospitals,MedCare Hospitals,EMP148,Analytics,2025-05-18,2026-03-22,2026-05-08,Delayed,Low,86,1660000,5,2025-05-01
P00106,Employee Payroll System,Employee Payroll System project for DataCorp,DataCorp,EMP126,Marketing,2026-05-08,2026-11-29,,In Progress,Medium,38,2480000,11,2026-04-16
P00107,Employee Payroll System,Employee Payroll System project for IndustrialTech,IndustrialTech,EMP127,Security,2026-03-07,2026-10-08,,In Progress,Medium,35,1710000,11,2026-01-12
P00108,Data Warehouse Development,Data Warehouse Development project for LogiTech,LogiTech,EMP129,Human Resources,2025-02-16,2025-04-04,2025-06-20,Delayed,High,48,545000,6,2024-12-31
P00109,Marketing Analytics Platform,Marketing Analytics Platform project for IndustrialTech,IndustrialTech,EMP104,Marketing,2025-06-19,2025-10-07,2025-09-29,Completed,High,100,2480000,18,2025-04-28
P00110,Cybersecurity Upgrade,Cybersecurity Upgrade project for IndustrialTech,IndustrialTech,EMP143,Sales,2026-05-22,2026-07-07,,On Hold,High,23,960000,3,2026-04-21
P00111,Financial Reporting Dashboard,Financial Reporting Dashboard project for LogiTech,LogiTech,EMP137,Marketing,2025-07-30,2026-05-28,,In Progress,High,61,1820000,5,2025-06-07
P00112,Employee Payroll System,Employee Payroll System project for Global Traders,Global Traders,EMP144,AI Development,2025-01-23,2026-01-04,2026-01-23,Delayed,High,57,1595000,4,2025-01-08
P00113,Online Learning Platform,Online Learning Platform project for DataCorp,DataCorp,EMP106,Development,2025-12-29,2026-04-04,,In Progress,Medium,52,1050000,3,2025-11-18
P00114,Marketing Analytics Platform,Marketing Analytics Platform project for ABC Retail,ABC Retail,EMP141,Marketing,2026-06-24,2026-11-05,,In Progress,High,52,1165000,8,2026-05-29
P00115,Cloud Migration Project,Cloud Migration Project project for DigitalHub,DigitalHub,EMP119,Data Engineering,2025-11-30,2026-05-06,,In Progress,Medium,84,1720000,7,2025-11-15
P00116,Online Learning Platform,Online Learning Platform project for ABC Corporation,ABC Corporation,EMP141,Marketing,2026-08-09,2027-06-09,,Planning,Critical,3,2210000,17,2026-07-14
P00117,E-Commerce Platform,E-Commerce Platform project for PeopleFirst,PeopleFirst,EMP150,Customer Success,2025-03-10,2025-09-01,,In Progress,Low,77,2380000,7,2025-01-28
P00118,Mobile Banking Application,Mobile Banking Application project for SecureNet,SecureNet,EMP144,IT Infrastructure,2026-02-05,2026-04-04,,In Progress,High,62,2480000,7,2026-01-02
P00119,Customer Support Chatbot,Customer Support Chatbot project for MarketPlus,MarketPlus,EMP146,Marketing,2026-01-25,2026-09-14,,Planning,Medium,16,515000,10,2025-12-02
P00120,Mobile Banking Application,Mobile Banking Application project for RetailAnalytics,RetailAnalytics,EMP106,Development,2026-08-14,2026-11-14,2026-12-14,Delayed,Medium,60,675000,4,2026-07-05
P00121,Supply Chain Analytics,Supply Chain Analytics project for PeopleFirst,PeopleFirst,EMP117,Marketing,2025-11-09,2026-07-18,2026-08-05,Delayed,Medium,74,715000,16,2025-10-05
P00122,Data Warehouse Development,Data Warehouse Development project for DigitalHub,DigitalHub,EMP115,Operations,2026-05-09,2027-03-24,2027-06-02,Delayed,Low,62,2440000,17,2026-04-18
P00123,Data Warehouse Development,Data Warehouse Development project for XYZ Technologies,XYZ Technologies,EMP126,Security,2025-03-29,2025-06-03,,On Hold,High,56,470000,3,2025-02-08
P00124,Marketing Analytics Platform,Marketing Analytics Platform project for MarketPlus,MarketPlus,EMP149,Operations,2025-01-27,2026-01-25,2026-01-12,Completed,Medium,100,1820000,14,2025-01-05
P00125,Social Media Analytics,Social Media Analytics project for RetailAnalytics,RetailAnalytics,EMP135,IT,2026-03-06,2026-11-18,2026-12-31,Delayed,Medium,49,2405000,13,2026-02-21
P00126,Online Learning Platform,Online Learning Platform project for IndustrialTech,IndustrialTech,EMP128,Finance,2025-01-03,2025-03-05,,In Progress,High,87,1545000,20,2024-11-16
P00127,HR Automation System,HR Automation System project for MarketPlus,MarketPlus,EMP141,Analytics,2026-06-09,2026-10-02,,In Progress,Medium,38,270000,16,2026-04-26
P00128,Employee Payroll System,Employee Payroll System project for XYZ Technologies,XYZ Technologies,EMP109,Operations,2025-01-13,2025-04-21,2025-06-30,Delayed,High,70,400000,19,2024-12-30
P00129,Online Learning Platform,Online Learning Platform project for FinanceCorp,FinanceCorp,EMP134,Operations,2026-02-18,2027-01-11,,In Progress,Low,41,1845000,17,2025-12-21
P00130,CRM Implementation,CRM Implementation project for EduTech,EduTech,EMP126,IT,2025-09-29,2026-07-02,2026-06-28,Completed,Medium,100,1145000,13,2025-08-20
P00131,Online Learning Platform,Online Learning Platform project for SalesPro,SalesPro,EMP111,AI Development,2026-01-23,2026-07-06,,In Progress,Medium,79,1390000,20,2025-12-20
P00132,Online Learning Platform,Online Learning Platform project for OfficePro,OfficePro,EMP133,Marketing,2026-01-10,2026-08-12,,In Progress,High,82,350000,14,2025-11-12
P00133,HR Automation System,HR Automation System project for XYZ Technologies,XYZ Technologies,EMP143,Customer Success,2025-09-24,2026-02-27,,In Progress,High,29,2270000,17,2025-08-10
P00134,Online Learning Platform,Online Learning Platform project for ABC Corporation,ABC Corporation,EMP142,IT Infrastructure,2025-10-16,2026-04-08,2026-05-02,Completed,High,100,2285000,11,2025-08-29
P00135,Employee Payroll System,Employee Payroll System project for FinanceCorp,FinanceCorp,EMP143,Development,2025-10-30,2026-07-06,,In Progress,Medium,65,1605000,4,2025-09-24
P00136,Healthcare Management System,Healthcare Management System project for RetailAnalytics,RetailAnalytics,EMP141,Healthcare IT,2026-02-11,2026-05-29,,In Progress,Medium,57,1320000,14,2026-01-23
P00137,CRM Implementation,CRM Implementation project for Global Traders,Global Traders,EMP124,Healthcare IT,2026-03-03,2026-12-16,,In Progress,Medium,47,1135000,6,2026-02-23
P00138,E-Commerce Platform,E-Commerce Platform project for ServicePro,ServicePro,EMP103,AI Development,2025-09-27,2026-09-09,,In Progress,Medium,37,695000,12,2025-09-21
P00139,Healthcare Management System,Healthcare Management System project for FinanceCorp,FinanceCorp,EMP149,AI Development,2025-07-31,2026-07-22,,In Progress,Low,64,2365000,15,2025-07-13
P00140,Supply Chain Analytics,Supply Chain Analytics project for FinTech Solutions,FinTech Solutions,EMP123,Marketing,2025-01-26,2025-05-06,2025-04-25,Completed,High,100,1350000,18,2025-01-06
P00141,AI Demand Forecasting,AI Demand Forecasting project for SalesPro,SalesPro,EMP132,Healthcare IT,2026-04-13,2026-10-06,,In Progress,High,81,495000,6,2026-03-22
P00142,Customer Support Chatbot,Customer Support Chatbot project for CloudWorks,CloudWorks,EMP102,Finance,2025-05-16,2025-09-22,2025-11-29,Delayed,Medium,44,2035000,19,2025-05-11
P00143,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,EduTech,EMP145,Healthcare IT,2025-09-18,2026-05-24,,In Progress,High,42,2435000,7,2025-08-28
P00144,Supply Chain Analytics,Supply Chain Analytics project for OfficePro,OfficePro,EMP145,Finance,2026-08-19,2027-01-14,2027-04-13,Delayed,Medium,81,885000,17,2026-07-13
P00145,AI Demand Forecasting,AI Demand Forecasting project for LogiTech,LogiTech,EMP147,AI Development,2026-04-16,2026-10-04,2026-09-29,Completed,Low,100,1795000,18,2026-03-14
P00146,Social Media Analytics,Social Media Analytics project for MedCare Hospitals,MedCare Hospitals,EMP109,Analytics,2025-07-27,2025-10-24,2025-12-01,Delayed,Medium,73,2495000,14,2025-06-27
P00147,E-Commerce Platform,E-Commerce Platform project for ABC Corporation,ABC Corporation,EMP143,Customer Success,2025-10-12,2026-05-24,2026-06-09,Completed,Medium,100,510000,11,2025-08-19
P00148,Customer Support Chatbot,Customer Support Chatbot project for IndustrialTech,IndustrialTech,EMP132,Marketing,2025-07-14,2026-02-15,,In Progress,High,73,2080000,13,2025-06-06
P00149,Warehouse Automation,Warehouse Automation project for CloudWorks,CloudWorks,EMP108,IT Infrastructure,2026-01-11,2026-08-20,,In Progress,Medium,62,1370000,10,2025-12-06
P00150,HR Automation System,HR Automation System project for Global Traders,Global Traders,EMP129,Customer Success,2025-04-02,2025-09-03,,In Progress,Medium,23,1755000,4,2025-02-13
P00151,Social Media Analytics,Social Media Analytics project for DataCorp,DataCorp,EMP124,IT Infrastructure,2026-07-26,2027-05-08,,In Progress,Low,27,655000,11,2026-06-02
P00152,Financial Reporting Dashboard,Financial Reporting Dashboard project for SecureNet,SecureNet,EMP132,AI Development,2026-08-16,2027-04-12,,In Progress,High,19,740000,3,2026-07-30
P00153,Document Management System,Document Management System project for ServicePro,ServicePro,EMP105,Healthcare IT,2025-06-29,2025-10-08,,Planning,Medium,6,1500000,7,2025-05-08
P00154,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,EduTech,EMP129,Analytics,2025-05-19,2025-10-28,2025-10-17,Completed,High,100,815000,20,2025-04-24
P00155,Supply Chain Analytics,Supply Chain Analytics project for EduTech,EduTech,EMP134,Analytics,2025-11-20,2026-08-03,,In Progress,Medium,17,1595000,4,2025-09-27
P00156,Data Warehouse Development,Data Warehouse Development project for Global Traders,Global Traders,EMP136,Operations,2026-01-24,2026-04-16,,In Progress,High,53,445000,4,2025-12-25
