expense_id,department,category,amount,expense_date,approval_status,payment_method,budget_allocated,budget_used,vendor_name,expense_priority
EXP0082,IT,Office Supplies,23264,2024-10-20,Rejected,Credit Card,278347,188159,Zoho,High
EXP0083,Data Science,Training,28868,2025-01-17,Pending,Cash,411909,398929,Oracle,Critical
EXP0084,IT,Travel,95209,2025-11-28,Approved,Bank Transfer,331033,329055,HP,Low
EXP0085,Engineering,Training,38857,2026-07-30,Rejected,Bank Transfer,226232,52548,Amazon AWS,Critical
EXP0086,Marketing,Office Supplies,63519,2025-05-26,Pending,UPI,175790,33916,Adobe,Medium
EXP0087,IT,Recruitment,62808,2024-12-07,Approved,Credit Card,445212,400506,Adobe,Critical
EXP0088,Finance,Training,98735,2025-05-06,Pending,Bank Transfer,240907,121907,Zoho,High
EXP0089,Data Science,Consulting,26203,2025-09-21,Rejected,Bank Transfer,474399,396955,Meta,Critical
EXP0090,Marketing,Cloud Services,39277,2026-06-26,Pending,Bank Transfer,243085,220410,Meta,High
EXP0091,Operations,Recruitment,36988,2026-07-21,Rejected,Cash,98320,67587,Zoho,High
EXP0092,Engineering,Travel,86744,2025-05-04,Pending,UPI,425329,227989,Meta,Low
EXP0093,HR,Consulting,60495,2026-07-11,Rejected,Credit Card,408198,174132,Amazon AWS,Medium
EXP0094,Marketing,Consulting,50487,2025-04-06,Approved,Cash,340520,128902,HP,Critical
EXP0095,Finance,Consulting,80819,2026-04-05,Approved,Credit Card,185782,64937,HP,Low
EXP0096,Sales,Training,40669,2026-04-11,Pending,Credit Card,169349,162234,Amazon AWS,Low
EXP0097,IT,Hardware,99451,2025-12-24,Rejected,Bank Transfer,448646,118327,HP,Critical
EXP0098,Data Science,Marketing Campaign,70936,2025-08-13,Rejected,Bank Transfer,183543,107853,Meta,Low
EXP0099,Marketing,Training,9405,2024-12-20,Approved,Cash,123155,10799,Oracle,Critical
EXP0100,HR,Marketing Campaign,92349,2025-11-04,Approved,Bank Transfer,407893,40208,Microsoft,Medium
EXP0101,IT,Recruitment,62196,2025-08-16,Rejected,Cash,268144,6501,Google,Low
EXP0102,HR,Consulting,95944,2026-02-05,Rejected,UPI,451501,165132,Adobe,Critical
EXP0103,Engineering,Training,98256,2025-07-31,Approved,Credit Card,332219,208298,Adobe,High
EXP0104,HR,Travel,12134,2025-05-05,Rejected,UPI,273694,62817,Dell,High
EXP0105,Engineering,Training,19750,2026-03-27,Rejected,Credit Card,457428,354954,Adobe,Low
EXP0106,Operations,Recruitment,35380,2025-06-09,Rejected,Cash,141675,65932,Google,Low
EXP0107,Operations,Consulting,58564,2026-08-01,Pending,Bank Transfer,455322,131095,Dell,High
EXP0108,Operations,Hardware,63775,2025-11-12,Rejected,UPI,470114,232055,HP,Medium
EXP0109,HR,Maintenance,67861,2025-08-04,Pending,UPI,383654,260871,Microsoft,Critical
EXP0110,Finance,Travel,94992,2025-07-04,Rejected,Credit Card,85244,1101,Meta,Critical
EXP0111,IT,Training,10798,2025-02-23,Rejected,Bank Transfer,131064,90157,Microsoft,Medium
EXP0112,Marketing,Marketing Campaign,63275,2026-05-06,Pending,UPI,335011,185352,LinkedIn,High
EXP0113,Finance,Recruitment,29272,2026-06-19,Pending,Bank Transfer,412233,264012,Zoho,Medium
EXP0114,Operations,Maintenance,32570,2024-12-06,Rejected,Credit Card,208277,77359,LinkedIn,Low
EXP0115,Marketing,Software License,69722,2026-01-05,Approved,Cash,306699,296465,Amazon AWS,Low
EXP0116,Sales,Cloud Services,26946,2025-03-04,Pending,UPI,235394,230590,HP,High
EXP0117,Data Science,Training,2984,2025-07-31,Pending,Credit Card,488261,270861,Meta,Critical
EXP0118,Marketing,Marketing Campaign,30269,2024-12-21,Approved,UPI,273956,265354,Zoho,Critical
EXP0119,HR,Recruitment,76526,2025-09-07,Rejected,Credit Card,333816,15722,Adobe,Low
EXP0120,Marketing,Software License,67366,2025-01-22,Approved,Cash,496702,384196,Google,High
EXP0121,IT,Hardware,54018,2025-06-05,Approved,UPI,281674,65364,Google,Low
EXP0122,Data Science,Training,98685,2026-05-03,Approved,Cash,96989,25665,Google,Low
EXP0123,Operations,Marketing Campaign,32503,2026-06-14,Approved,UPI,72531,54887,Amazon AWS,Critical
EXP0124,Finance,Consulting,46705,2025-02-03,Approved,Cash,227493,201167,Meta,Critical
EXP0125,Finance,Travel,26762,2025-12-29,Approved,Credit Card,489123,460403,Dell,High
EXP0126,Sales,Hardware,30086,2026-02-09,Approved,UPI,254277,125163,HP,Low
EXP0127,Marketing,Software License,41296,2025-07-30,Rejected,UPI,232580,48937,Google,Medium
EXP0128,Operations,Hardware,42289,2025-04-12,Pending,Bank Transfer,203281,124981,Zoho,Low
EXP0129,Data Science,Office Supplies,45040,2025-02-02,Approved,Cash,455269,416143,Zoho,Critical
EXP0130,Engineering,Hardware,86742,2024-11-11,Approved,UPI,324769,36317,Google,Low
EXP0131,HR,Recruitment,74014,2025-12-14,Approved,Bank Transfer,395490,199931,Dell,Medium
EXP0132,Data Science,Software License,72000,2024-10-16,Approved,Cash,155579,22585,Zoho,Medium
EXP0133,Operations,Travel,30047,2024-09-30,Rejected,Bank Transfer,404619,375150,HP,Critical
EXP0134,IT,Travel,91268,2026-07-28,Pending,UPI,96196,55716,Dell,Medium
EXP0135,HR,Maintenance,53650,2025-02-26,Approved,UPI,155591,147493,Microsoft,High
EXP0136,Data Science,Consulting,97800,2025-10-02,Approved,Cash,60440,47377,Meta,High
EXP0137,Engineering,Recruitment,25200,2025-01-11,Rejected,UPI,183054,133916,HP,High
EXP0138,Engineering,Cloud Services,48297,2025-08-30,Pending,UPI,266378,178610,Oracle,Low
EXP0139,Data Science,Travel,64338,2025-06-11,Approved,UPI,367229,164409,Microsoft,High
EXP0140,Operations,Marketing Campaign,84599,2025-05-06,Pending,UPI,147971,139884,Adobe,Critical
EXP0141,Operations,Travel,78297,2024-09-13,Approved,UPI,107189,70395,Adobe,Medium
EXP0142,Marketing,Office Supplies,6768,2026-05-12,Pending,Cash,480835,373204,LinkedIn,High
EXP0143,Engineering,Hardware,53116,2025-09-15,Approved,UPI,189909,29803,Dell,High
EXP0144,Sales,Travel,35077,2024-09-26,Approved,UPI,227434,13078,Dell,Medium
EXP0145,IT,Maintenance,51053,2025-10-12,Pending,Credit Card,51832,51605,Amazon AWS,High
EXP0146,Data Science,Travel,79985,2025-05-22,Approved,Bank Transfer,281923,92098,Meta,Low
EXP0147,IT,Marketing Campaign,96854,2025-07-31,Rejected,Credit Card,294032,7537,Zoho,High
EXP0148,Marketing,Cloud Services,55346,2025-03-27,Rejected,Bank Transfer,420672,128109,Microsoft,Low
EXP0149,Engineering,Recruitment,21116,2026-02-27,Rejected,Cash,345209,308430,Adobe,Medium
EXP0150,Engineering,Hardware,77690,2026-04-15,Approved,Credit Card,278462,73475,Microsoft,High
EXP0151,HR,Software License,16056,2025-01-26,Approved,Cash,243929,152214,Google,Medium
EXP0152,Marketing,Cloud Services,34256,2026-01-27,Rejected,UPI,202757,85033,Amazon AWS,High
EXP0153,IT,Cloud Services,55977,2024-09-03,Pending,Cash,382694,294292,LinkedIn,Low
EXP0154,Operations,Travel,68333,2025-04-13,Approved,Cash,76124,66055,LinkedIn,High
EXP0155,HR,Training,52264,2026-05-26,Pending,Bank Transfer,411332,37524,HP,Critical
EXP0156,IT,Travel,40821,2026-07-12,Approved,Bank Transfer,241196,95832,Adobe,Medium
EXP0157,Operations,Maintenance,55063,2026-05-16,Rejected,Cash,328324,131404,Adobe,Medium
EXP0158,Operations,Office Supplies,89644,2024-12-21,Rejected,UPI,462181,248842,Meta,High
EXP0159,Data Science,Recruitment,49554,2025-07-15,Pending,Cash,74966,68165,LinkedIn,Medium
EXP0160,HR,Maintenance,37483,2025-07-08,Rejected,Bank Transfer,369156,90670,HP,Low
EXP0161,Operations,Training,26209,2024-08-24,Rejected,Cash,479709,380565,HP,Critical
EXP0162,Data Science,Hardware,91913,2024-09-17,Pending,UPI,313343,205145,Oracle,Low
EXP0163,Finance,Maintenance,79802,2026-04-10,Approved,Credit Card,320458,239056,LinkedIn,Medium
EXP0164,Marketing,Software License,54322,2024-10-04,Rejected,Cash,493736,133894,Oracle,Low
EXP0165,Operations,Maintenance,72950,2025-08-17,Approved,Credit Card,485223,317227,Oracle,Low
EXP0166,Sales,Consulting,76679,2024-10-29,Approved,Bank Transfer,422384,268355,Microsoft,Critical
EXP0167,Operations,Training,18221,2026-01-02,Pending,Bank Transfer,333258,148644,Adobe,Critical
EXP0168,HR,Maintenance,63849,2025-12-22,Pending,Cash,484837,344049,HP,Critical
EXP0169,Engineering,Office Supplies,28185,2025-12-02,Pending,UPI,187486,42052,Microsoft,Low
EXP0170,Sales,Recruitment,82109,2024-12-12,Pending,Bank Transfer,464751,125868,Adobe,High
EXP0171,Engineering,Training,78920,2025-09-26,Pending,Credit Card,110958,13575,Dell,Medium
EXP0172,Marketing,Travel,17174,2025-03-17,Rejected,Bank Transfer,368212,71967,Adobe,Critical
EXP0173,Finance,Recruitment,52324,2025-01-10,Approved,Credit Card,224409,105564,LinkedIn,Low
EXP0174,IT,Training,76275,2024-10-04,Approved,UPI,99407,93978,Zoho,Low
EXP0175,IT,Cloud Services,58310,2025-03-28,Rejected,Bank Transfer,494404,427021,Microsoft,Medium
EXP0176,Engineering,Recruitment,38160,2024-10-04,Pending,UPI,165189,109954,Meta,Low
EXP0177,Operations,Marketing Campaign,68988,2025-07-04,Rejected,Bank Transfer,332331,278070,Meta,High
EXP0178,Finance,Software License,57124,2025-01-20,Pending,UPI,278501,169519,Adobe,High
EXP0179,Operations,Recruitment,98010,2025-08-09,Rejected,Bank Transfer,359198,302696,Zoho,Critical
EXP0180,Operations,Maintenance,35832,2025-04-06,Approved,UPI,483216,21754,HP,Medium
EXP0181,Data Science,Office Supplies,92668,2025-07-30,Rejected,UPI,79702,56962,Google,High
EXP0182,HR,Office Supplies,96382,2026-08-13,Approved,UPI,95232,77624,LinkedIn,High
EXP0183,IT,Cloud Services,97701,2025-10-31,Approved,Bank Transfer,155602,112398,Dell,Medium
EXP0184,Engineering,Software License,81174,2025-12-11,Pending,UPI,273676,220843,Google,High
EXP0185,Marketing,Hardware,56149,2024-11-01,Rejected,Credit Card,459028,344391,Zoho,Critical
EXP0186,Marketing,Maintenance,10349,2024-09-04,Pending,UPI,57833,2002,Dell,Critical
EXP0187,Engineering,Cloud Services,62884,2025-05-16,Approved,Credit Card,468550,16664,LinkedIn,High
EXP0188,Operations,Cloud Services,81871,2026-07-10,Approved,Credit Card,96460,15300,HP,Low
EXP0189,Finance,Recruitment,80100,2024-11-27,Pending,Bank Transfer,309062,25827,Amazon AWS,Medium
EXP0190,IT,Recruitment,58669,2026-05-19,Approved,Credit Card,387427,262963,Dell,Critical
EXP0191,Sales,Hardware,55879,2025-04-17,Pending,Bank Transfer,316002,249877,Amazon AWS,High
EXP0192,Engineering,Hardware,97198,2026-02-16,Rejected,Cash,320674,169184,Dell,Low
EXP0193,Sales,Hardware,27534,2026-06-23,Approved,UPI,90430,17242,Meta,High
EXP0194,Finance,Software License,79312,2025-09-24,Rejected,Bank Transfer,63790,55628,HP,Low
EXP0195,Operations,Recruitment,49403,2025-09-08,Rejected,Bank Transfer,68692,23106,Zoho,Low
EXP0196,Engineering,Cloud Services,58135,2025-02-17,Rejected,Bank Transfer,399566,214028,HP,Critical
EXP0197,Data Science,Hardware,6203,2026-08-06,Approved,Bank Transfer,365466,160827,Microsoft,Critical
EXP0198,IT,Training,6297,2024-08-26,Rejected,Cash,321846,61355,LinkedIn,Critical
EXP0199,Data Science,Office Supplies,63248,2024-09-03,Pending,Credit Card,402384,232470,Oracle,Critical
EXP0200,Marketing,Software License,96593,2025-07-06,Pending,Cash,371248,54941,LinkedIn,Low
EXP0201,IT,Software License,15785,2025-01-02,Pending,Cash,417409,169420,LinkedIn,Low
EXP0202,Data Science,Software License,96910,2025-03-04,Pending,Bank Transfer,391311,233026,Zoho,High
EXP0203,Operations,Maintenance,75449,2026-04-03,Pending,Bank Transfer,325758,199848,Adobe,Medium
EXP0204,HR,Software License,25147,2025-01-05,Approved,Cash,113914,98593,Meta,High
EXP0205,IT,Consulting,41933,2025-05-20,Pending,UPI,342888,110825,Amazon AWS,Low
EXP0206,Operations,Consulting,4134,2025-05-05,Pending,Bank Transfer,349399,28250,Microsoft,High
EXP0207,Finance,Maintenance,33109,2026-08-19,Pending,Credit Card,347194,32417,LinkedIn,High
EXP0208,IT,Cloud Services,20289,2025-11-16,Approved,UPI,336856,112184,Amazon AWS,High
EXP0209,Operations,Marketing Campaign,42726,2025-09-26,Pending,Cash,370568,183473,Adobe,Critical
EXP0210,Marketing,Consulting,72489,2025-04-22,Approved,Credit Card,103078,54408,Amazon AWS,Low
EXP0211,Finance,Software License,79703,2026-02-11,Approved,Credit Card,429151,215359,Oracle,Low
EXP0212,Sales,Consulting,82020,2025-07-26,Approved,Bank Transfer,347328,312272,Microsoft,Low
EXP0213,Finance,Consulting,76455,2026-07-20,Rejected,UPI,164842,6108,Zoho,Medium
EXP0214,Operations,Cloud Services,45263,2025-11-09,Rejected,Credit Card,416013,42888,LinkedIn,Critical
EXP0215,HR,Software License,31590,2025-08-30,Pending,Bank Transfer,318859,262139,HP,Medium
EXP0216,HR,Consulting,51478,2025-06-11,Approved,Bank Transfer,178714,19243,Microsoft,High
EXP0217,Marketing,Training,70550,2024-12-08,Rejected,UPI,179204,81548,Microsoft,Critical
EXP0218,IT,Cloud Services,20472,2024-09-30,Pending,Cash,289867,66084,Google,Medium
EXP0219,IT,Marketing Campaign,32417,2025-03-07,Approved,UPI,433343,220987,Google,Low
EXP0220,HR,Travel,33554,2026-03-27,Approved,Cash,134909,10294,Google,High
EXP0221,Sales,Recruitment,44100,2024-11-29,Approved,Cash,197712,160353,Dell,Low
EXP0222,IT,Cloud Services,48963,2025-07-28,Rejected,Cash,119894,102340,Oracle,Medium
EXP0223,Engineering,Office Supplies,11868,2025-10-08,Pending,Credit Card,371080,316491,Adobe,Low
EXP0224,Data Science,Marketing Campaign,77014,2025-10-08,Rejected,UPI,333620,20864,Meta,Critical
EXP0225,Sales,Marketing Campaign,99861,2024-09-15,Approved,Bank Transfer,126959,71027,Meta,Medium
EXP0226,Marketing,Office Supplies,26532,2025-02-19,Rejected,Credit Card,467997,334646,Adobe,High
EXP0227,Finance,Marketing Campaign,24184,2026-03-30,Approved,Cash,94900,86645,Meta,Low
EXP0228,Operations,Hardware,54198,2025-12-25,Approved,Cash,407894,24914,HP,Critical
EXP0229,Data Science,Training,82412,2025-02-26,Pending,Credit Card,367932,331166,Dell,Critical
EXP0230,HR,Hardware,82553,2026-01-09,Pending,UPI,122151,77553,Adobe,Low
EXP0231,IT,Travel,49811,2025-07-03,Rejected,Bank Transfer,402304,250835,LinkedIn,Low
EXP0232,IT,Maintenance,30859,2025-11-08,Pending,Credit Card,467608,129800,Amazon AWS,Low
EXP0233,Finance,Office Supplies,62741,2025-05-16,Pending,Credit Card,373905,283420,LinkedIn,Critical
EXP0234,Engineering,Travel,97653,2026-01-16,Rejected,Cash,481236,66908,Google,Low
EXP0235,Operations,Cloud Services,57790,2025-01-01,Rejected,Credit Card,274547,168586,Meta,Medium
EXP0236,Data Science,Training,95940,2024-10-22,Approved,Bank Transfer,256803,131313,LinkedIn,Critical
EXP0237,Sales,Hardware,79553,2026-07-27,Approved,Cash,195182,51637,Microsoft,Medium
EXP0238,Operations,Hardware,62985,2025-03-05,Rejected,Cash,288029,188632,Zoho,Low
EXP0239,Engineering,Cloud Services,46513,2026-08-22,Approved,UPI,495353,161075,Google,Critical
EXP0240,Marketing,Consulting,38280,2024-11-15,Rejected,Bank Transfer,276791,55617,LinkedIn,Critical
EXP0241,Finance,Software License,52815,2025-08-16,Pending,Cash,88551,72224,Adobe,Low
EXP0242,Finance,Software License,29970,2025-10-06,Rejected,Bank Transfer,396023,84013,Dell,Low
EXP0243,Data Science,Travel,96323,2024-10-04,Rejected,Bank Transfer,404912,71637,Adobe,Critical
EXP0244,HR,Travel,39421,2025-05-28,Approved,Credit Card,410135,208074,LinkedIn,Low
EXP0245,IT,Travel,11216,2026-08-08,Rejected,Cash,74796,58317,Microsoft,Critical
EXP0246,Data Science,Travel,14370,2026-03-15,Approved,Bank Transfer,375634,37893,Zoho,Medium
EXP0247,Finance,Cloud Services,4961,2024-11-21,Approved,UPI,280863,68568,Google,Medium
EXP0248,Marketing,Marketing Campaign,48395,2026-03-05,Pending,Credit Card,67754,52185,Zoho,Low
EXP0249,HR,Software License,54185,2026-01-02,Rejected,Credit Card,251246,182013,Microsoft,Critical
EXP0250,IT,Software License,90908,2024-10-12,Approved,UPI,264722,43280,Zoho,Critical
EXP0251,Operations,Software License,59014,2025-09-23,Approved,UPI,89780,48911,Adobe,Low
EXP0252,Sales,Recruitment,98020,2024-11-08,Pending,Credit Card,310938,23109,Dell,Critical
EXP0253,IT,Software License,23953,2026-01-24,Rejected,Credit Card,314639,151840,Microsoft,Critical
EXP0254,HR,Office Supplies,12893,2024-10-26,Approved,Cash,109854,46062,Dell,Medium
EXP0255,Finance,Travel,57720,2026-05-31,Approved,Credit Card,402192,101519,Amazon AWS,High
EXP0256,Marketing,Training,90862,2025-05-25,Approved,Credit Card,280377,145952,Meta,Medium
EXP0257,Finance,Cloud Services,89279,2026-06-18,Rejected,UPI,112334,100011,Zoho,Medium
EXP0258,Sales,Recruitment,62212,2025-08-11,Pending,Credit Card,352078,84461,LinkedIn,Low
EXP0259,Operations,Hardware,4682,2025-12-17,Pending,Cash,396417,186264,Dell,Medium
EXP0260,Marketing,Software License,71024,2025-01-10,Rejected,Cash,66816,7535,Meta,High
EXP0261,Finance,Office Supplies,9870,2024-12-17,Pending,Bank Transfer,339043,147507,Oracle,Low
EXP0262,Finance,Training,78838,2026-06-20,Rejected,Bank Transfer,166691,44048,HP,Critical
EXP0263,IT,Recruitment,89893,2026-02-13,Pending,Cash,67247,16736,Google,Low
EXP0264,HR,Travel,87443,2025-09-11,Approved,Bank Transfer,219628,145353,LinkedIn,High
EXP0265,Operations,Marketing Campaign,42346,2026-04-13,Pending,Cash,239780,174236,Amazon AWS,Medium
EXP0266,Sales,Training,9019,2025-10-10,Approved,Bank Transfer,266999,254558,Oracle,Critical
EXP0267,HR,Software License,35242,2024-09-15,Pending,UPI,450630,129116,Oracle,High
EXP0268,Finance,Hardware,25309,2024-10-10,Approved,Bank Transfer,70293,7819,HP,Low
EXP0269,Finance,Office Supplies,78057,2025-01-08,Rejected,UPI,53140,43603,Microsoft,Medium
EXP0270,Data Science,Office Supplies,29524,2025-04-08,Pending,Credit Card,221888,196749,HP,Critical
EXP0271,Sales,Software License,72189,2026-03-24,Rejected,UPI,465681,20146,Dell,Low
EXP0272,Sales,Maintenance,1651,2025-10-25,Rejected,Bank Transfer,247719,219329,Meta,Critical
EXP0273,Sales,Travel,42948,2025-11-15,Rejected,Cash,499462,493450,Dell,Critical
EXP0274,Marketing,Software License,7640,2025-06-15,Pending,Bank Transfer,460601,70213,Dell,Low
EXP0275,HR,Consulting,10912,2025-03-17,Approved,Bank Transfer,479020,357229,Oracle,Critical
EXP0276,Marketing,Maintenance,27327,2026-06-17,Pending,UPI,494008,55704,Google,Low
EXP0277,Engineering,Training,82570,2024-09-11,Pending,UPI,258829,12890,Dell,Medium
EXP0278,Operations,Training,67147,2024-11-24,Approved,Credit Card,164340,139070,Dell,Critical
EXP0279,Sales,Recruitment,50868,2026-04-04,Rejected,Cash,343934,20590,Zoho,High
